,학교명,도로명주소,경도,위도
0,가락고등학교,서울특별시 송파구 송이로 42,0,0
1,가재울고등학교,서울특별시 서대문구 수색로 100-35,0,0
2,강동고등학교,서울특별시 강동구 구천면로 572,0,0
3,강서고등학교,서울특별시 양천구 목동중앙남로 27,0,0
4,강일고등학교,서울특별시 강동구 아리수로98길 40,0,0
5,개포고등학교,서울특별시 강남구 개포로 402,0,0
6,건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120,0,0
7,경기고등학교,서울특별시 강남구 영동대로 643,0,0
8,경기여자고등학교,서울특별시 강남구 삼성로 29,0,0
9,경동고등학교,서울특별시 성북구 보문로29길 49,0,0
10,경문고등학교,서울특별시 동작구 동작대로 171,0,0
11,경복고등학교,서울특별시 종로구 자하문로28가길 9,0,0
12,경복여자고등학교,서울특별시 강서구 화곡로63길 40,0,0
13,경성고등학교,서울특별시 마포구 성미산로 111,0,0
14,경신고등학교,서울특별시 종로구 혜화로 74,0,0
15,경인고등학교,서울특별시 구로구 경인로46길 31,0,0
16,경일고등학교,서울특별시 성동구 성수일로 27,0,0
17,경희고등학교,서울특별시 동대문구 경희대로 26,0,0
18,경희여자고등학교,서울특별시 동대문구 경희대로 26,0,0
19,계성고등학교,서울특별시 성북구 길음로 63,0,0
20,고려대학교사범대학부속고등학교,서울특별시 성북구 정릉로 161,0,0
21,고척고등학교,서울특별시 구로구 중앙로15길 162,0,0
22,공항고등학교,서울특별시 강서구 방화대로34길 43,0,0
23,관악고등학교,서울특별시 영등포구 영등포로6길 26,0,0
24,광남고등학교,서울특별시 광진구 아차산로70길 17-16,0,0
25,광문고등학교,서울특별시 강동구 동남로 968,0,0
26,광성고등학교,서울특별시 마포구 신수로8길 20,0,0
27,광신고등학교,서울특별시 관악구 광신길 141,0,0
28,광양고등학교,서울특별시 광진구 자양로3가길 31,0,0
29,광영고등학교,서울특별시 양천구 남부순환로30길 17,0,0
30,광영여자고등학교,서울특별시 양천구 남부순환로30길 17,0,0
31,구로고등학교,서울특별시 구로구 가마산로27길 45,0,0
32,구암고등학교,서울특별시 관악구 성현로 57,0,0
33,구일고등학교,서울특별시 구로구 구일로 90-51,0,0
34,구현고등학교,서울특별시 구로구 경인로53가길 17,0,0
35,금옥여자고등학교,서울특별시 양천구 신정로 213,0,0
36,금천고등학교,서울특별시 금천구 시흥대로38길 26,0,0
37,금호고등학교,서울특별시 성동구 금호로 118,0,0
38,남강고등학교,서울특별시 관악구 난곡로34길 80,0,0
39,노원고등학교,서울특별시 노원구 노원로 586,0,0
40,누원고등학교,서울특별시 도봉구 마들로 849,0,0
41,단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21,0,0
42,당곡고등학교,서울특별시 관악구 봉천로21길 108,0,0
43,대광고등학교,서울특별시 동대문구 안암로 6,0,0
44,대성고등학교,서울특별시 은평구 갈현로29길 51-24,0,0
45,대신고등학교,서울특별시 종로구 사직로 9,0,0
46,대영고등학교,서울특별시 영등포구 도림로86길 16,0,0
47,대원고등학교,서울특별시 광진구 용마산로22길 26,0,0
48,대원여자고등학교,서울특별시 광진구 용마산로22길 26,0,0
49,대일고등학교,서울특별시 강서구 등촌로 105,0,0
50,대진고등학교,서울특별시 노원구 공릉로62가길 47,0,0
51,대진여자고등학교,서울특별시 노원구 공릉로 438,0,0
52,덕성여자고등학교,서울특별시 종로구 율곡로3길 50,0,0
53,덕수고등학교,서울특별시 송파구 위례북로 10,0,0
54,덕원여자고등학교,서울특별시 강서구 강서로45길 91-44,0,0
55,도봉고등학교,서울특별시 도봉구 도봉산길 27,0,0
56,도선고등학교,서울특별시 성동구 마장로 156,0,0
57,독산고등학교,서울특별시 금천구 문성로 64,0,0
58,동국대학교사범대학부속고등학교,서울특별시 동대문구 장안벚꽃로 201,0,0
59,동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47,0,0
60,동덕여자고등학교,서울특별시 서초구 효령로2길 123-5,0,0
61,동명여자고등학교,서울특별시 은평구 통일로 793,0,0
62,동북고등학교,서울특별시 강동구 강동대로 305,0,0
63,동성고등학교,서울특별시 종로구 대학로 156,0,0
64,동양고등학교,서울특별시 강서구 허준로 50,0,0
65,동일여자고등학교,서울특별시 금천구 탑골로10길 45,0,0
66,동작고등학교,서울특별시 동작구 솔밭로 51,0,0
67,둔촌고등학교,서울특별시 강동구 명일로 140,0,0
68,등촌고등학교,서울특별시 강서구 공항대로39길 115,0,0
69,마포고등학교,서울특별시 강서구 화곡로 403,0,0
70,면목고등학교,서울특별시 중랑구 용마산로72길 36-14,0,0
71,명덕고등학교,서울특별시 강서구 강서로47길 34-10,0,0
72,명덕여자고등학교,서울특별시 강서구 강서로47길 34-10,0,0
73,명일여자고등학교,서울특별시 강동구 명일로 350,0,0
74,명지고등학교,서울특별시 서대문구 명지2길 56,0,0
75,목동고등학교,서울특별시 양천구 목동동로2길 68,0,0
76,무학여자고등학교,서울특별시 성동구 고산자로 197,0,0
77,문일고등학교,서울특별시 금천구 시흥대로47길 45,0,0
78,문정고등학교,서울특별시 송파구 송이로34길 62,0,0
79,문현고등학교,서울특별시 송파구 충민로 115,0,0
80,미림여자고등학교,서울특별시 관악구 호암로 546,0,0
81,미양고등학교,서울특별시 강북구 인수봉로 39,0,0
82,반포고등학교,서울특별시 서초구 고무래로 71,0,0
83,방산고등학교,서울특별시 송파구 오금로27길 18,0,0
84,배명고등학교,서울특별시 송파구 삼학사로 11,0,0
85,배문고등학교,서울특별시 용산구 효창원로 258,0,0
86,배재고등학교,서울특별시 강동구 고덕로 227,0,0
87,배화여자고등학교,서울특별시 종로구 필운대로1길 34,0,0
88,백암고등학교,서울특별시 양천구 신정로13길 16,0,0
89,보성고등학교,서울특별시 송파구 양재대로 1278,0,0
90,보성여자고등학교,서울특별시 용산구 신흥로3가길 66,0,0
91,보인고등학교,서울특별시 송파구 오금로49길 18,0,0
92,불암고등학교,서울특별시 노원구 중계로 155,0,0
93,삼각산고등학교,서울특별시 강북구 삼양로19길 40,0,0
