학교명,지원학과
가재울고등학교,실용음악-보컬
가재울고등학교,제과제빵
가재울고등학교,한양식조리
강동고등학교,관광서비스
강동고등학교,만화애니메이션
강서고등학교,e스포츠-리그오브레전드(LOL)
강일고등학교,미용예술
강일고등학교,미용예술
건국대학교사범대학부속고등학교,관광서비스
건국대학교사범대학부속고등학교,미용예술
건국대학교사범대학부속고등학교,미용예술
건국대학교사범대학부속고등학교,인테리어디자인
경기고등학교,실용음악-드럼
경기여자고등학교,실용음악-댄스
경동고등학교,실용음악-댄스
경동고등학교,카페플라워
경문고등학교,실용음악-일렉기타
경문고등학교,한양식조리
경복고등학교,만화애니메이션
경복고등학교,실용음악-베이스기타
경복고등학교,콘텐츠크리에이터
경복여자고등학교,실용음악-건반(작곡)
경성고등학교,e스포츠-리그오브레전드(LOL)
경성고등학교,게임제작
경성고등학교,디지털시각디자인
경성고등학교,미용예술
경성고등학교,연극영화-영화
경성고등학교,제과제빵
경성고등학교,패션디자인
경성고등학교,한양식조리
경신고등학교,미용예술
경신고등학교,제과제빵
경신고등학교,콘텐츠크리에이터
경인고등학교,게임제작
경일고등학교,인테리어디자인
경희여자고등학교,만화애니메이션
계성고등학교,미용예술
고척고등학교,미용예술
관악고등학교,미용예술
관악고등학교,미용예술
관악고등학교,연극영화-영화
관악고등학교,카페플라워
광남고등학교,미용예술
광남고등학교,실용음악-보컬
광문고등학교,실용음악-건반(작곡)
광문고등학교,실용음악-보컬
광문고등학교,실용음악-보컬
광성고등학교,한양식조리
광신고등학교,미용예술
광신고등학교,미용예술
광신고등학교,실용음악-일렉기타
광신고등학교,제과제빵
광신고등학교,한양식조리
광영고등학교,만화애니메이션
광영고등학교,미용예술
광영고등학교,콘텐츠크리에이터
광영고등학교,콘텐츠크리에이터
광영고등학교,한양식조리
구로고등학교,관광서비스
구로고등학교,만화애니메이션
구로고등학교,미용예술
구로고등학교,제과제빵
구로고등학교,제과제빵
구로고등학교,제과제빵
구로고등학교,콘텐츠크리에이터
구암고등학교,관광서비스
구암고등학교,관광서비스
구암고등학교,제과제빵
구일고등학교,e스포츠-리그오브레전드(LOL)
구일고등학교,미용예술
금옥여자고등학교,인테리어디자인
금옥여자고등학교,콘텐츠크리에이터
금옥여자고등학교,한양식조리
금호고등학교,미용예술
금호고등학교,실용음악-보컬
남강고등학교,카페플라워
노원고등학교,연극영화-영화
당곡고등학교,e스포츠-리그오브레전드(LOL)
당곡고등학교,디지털시각디자인
당곡고등학교,미용예술
당곡고등학교,카페플라워
당곡고등학교,콘텐츠크리에이터
대성고등학교,만화애니메이션
대성고등학교,실용음악-드럼
대성고등학교,실용음악-베이스기타
대성고등학교,연극영화-연극
대성고등학교,연극영화-연극
대성고등학교,연극영화-영화
대신고등학교,실용음악-드럼
대신고등학교,한양식조리
대영고등학교,미용예술
대영고등학교,미용예술
대영고등학교,미용예술
대영고등학교,제과제빵
대원고등학교,미용예술
대원고등학교,미용예술
대원고등학교,인테리어디자인
대원고등학교,인테리어디자인
대원고등학교,한양식조리
대원고등학교,한양식조리
대원고등학교,한양식조리
대일고등학교,게임제작
대일고등학교,관광서비스
대일고등학교,만화애니메이션
대일고등학교,한양식조리
대진여자고등학교,관광서비스
대진여자고등학교,미용예술
대진여자고등학교,실용음악-보컬
대진여자고등학교,카페플라워
덕원여자고등학교,관광서비스
덕원여자고등학교,만화애니메이션
덕원여자고등학교,미용예술
덕원여자고등학교,제과제빵
덕원여자고등학교,패션디자인
도봉고등학교,디지털시각디자인
도봉고등학교,한양식조리
도선고등학교,실용음악-보컬
도선고등학교,패션디자인
독산고등학교,콘텐츠크리에이터
독산고등학교,패션디자인
동국대학교사범대학부속고등학교,만화애니메이션
동국대학교사범대학부속고등학교,패션디자인
동명여자고등학교,실용음악-댄스
동북고등학교,게임제작
동북고등학교,미용예술
동북고등학교,실용음악-댄스
동북고등학교,인테리어디자인
동북고등학교,패션디자인
동작고등학교,관광서비스
동작고등학교,관광서비스
동작고등학교,미용예술
동작고등학교,한양식조리
둔촌고등학교,e스포츠-리그오브레전드(LOL)
둔촌고등학교,패션디자인
등촌고등학교,미용예술
등촌고등학교,연극영화-연극
등촌고등학교,콘텐츠크리에이터
마포고등학교,게임제작
마포고등학교,관광서비스
마포고등학교,실용음악-건반(작곡)
마포고등학교,실용음악-건반(작곡)
마포고등학교,콘텐츠크리에이터
명덕고등학교,미용예술
명덕고등학교,연극영화-연극
명덕고등학교,인테리어디자인
명덕고등학교,인테리어디자인
명덕고등학교,제과제빵
명덕여자고등학교,미용예술
명덕여자고등학교,연극영화-연극
명일여자고등학교,미용예술
명일여자고등학교,미용예술
명일여자고등학교,미용예술
명일여자고등학교,실용음악-보컬
명지고등학교,관광서비스
명지고등학교,만화애니메이션
명지고등학교,미용예술
명지고등학교,실용음악-보컬
명지고등학교,카페플라워
목동고등학교,실용음악-댄스
무학여자고등학교,미용예술
무학여자고등학교,연극영화-영화
무학여자고등학교,카페플라워
무학여자고등학교,콘텐츠크리에이터
무학여자고등학교,콘텐츠크리에이터
문일고등학교,e스포츠-리그오브레전드(LOL)
문일고등학교,e스포츠-리그오브레전드(LOL)
문정고등학교,실용음악-드럼
문현고등학교,연극영화-연극
문현고등학교,인테리어디자인
미림여자고등학교,실용음악-보컬
미양고등학교,실용음악-건반(작곡)
방산고등학교,게임제작
배문고등학교,e스포츠-리그오브레전드(LOL)
배문고등학교,미용예술
배재고등학교,실용음악-일렉기타
배화여자고등학교,미용예술
백암고등학교,인테리어디자인
백암고등학교,패션디자인
백암고등학교,한양식조리
보성여자고등학교,미용예술
보성여자고등학교,실용음악-건반(작곡)
불암고등학교,미용예술
불암고등학교,실용음악-보컬
삼각산고등학교,e스포츠-리그오브레전드(LOL)
삼각산고등학교,카페플라워
삼각산고등학교,카페플라워
상명대학교사범대학부속여자고등학교,제과제빵
상문고등학교,실용음악-일렉기타
상문고등학교,인테리어디자인
