,학교명,지원학과
0,강동고등학교,관광서비스
1,건국대학교사범대학부속고등학교,관광서비스
2,구로고등학교,관광서비스
3,구암고등학교,관광서비스
4,구암고등학교,관광서비스
5,대일고등학교,관광서비스
6,대진여자고등학교,관광서비스
7,덕원여자고등학교,관광서비스
8,동작고등학교,관광서비스
9,동작고등학교,관광서비스
10,마포고등학교,관광서비스
11,명지고등학교,관광서비스
12,선사고등학교,관광서비스
13,선사고등학교,관광서비스
14,선사고등학교,관광서비스
15,선정고등학교,관광서비스
16,선정고등학교,관광서비스
17,성남고등학교,관광서비스
18,성남고등학교,관광서비스
19,성신여자고등학교,관광서비스
20,송곡여자고등학교,관광서비스
21,숭의여자고등학교,관광서비스
22,신림고등학교,관광서비스
23,신현고등학교,관광서비스
24,여의도고등학교,관광서비스
25,여의도고등학교,관광서비스
26,영등포여자고등학교,관광서비스
27,영등포여자고등학교,관광서비스
28,영일고등학교,관광서비스
29,영파여자고등학교,관광서비스
30,잠실고등학교,관광서비스
31,창동고등학교,관광서비스
32,혜화여자고등학교,관광서비스
33,화곡고등학교,관광서비스
34,환일고등학교,관광서비스
35,효문고등학교,관광서비스
36,효문고등학교,관광서비스
37,휘봉고등학교,관광서비스
