,학교명,지원학과
0,강일고등학교,미용예술
1,강일고등학교,미용예술
2,건국대학교사범대학부속고등학교,미용예술
3,건국대학교사범대학부속고등학교,미용예술
4,경성고등학교,미용예술
5,경신고등학교,미용예술
6,계성고등학교,미용예술
7,고척고등학교,미용예술
8,관악고등학교,미용예술
9,관악고등학교,미용예술
10,광남고등학교,미용예술
11,광신고등학교,미용예술
12,광신고등학교,미용예술
13,광영고등학교,미용예술
14,구로고등학교,미용예술
15,구일고등학교,미용예술
16,금호고등학교,미용예술
17,당곡고등학교,미용예술
18,대영고등학교,미용예술
19,대영고등학교,미용예술
20,대영고등학교,미용예술
21,대원고등학교,미용예술
22,대원고등학교,미용예술
23,대진여자고등학교,미용예술
24,덕원여자고등학교,미용예술
25,동북고등학교,미용예술
26,동작고등학교,미용예술
27,등촌고등학교,미용예술
28,명덕고등학교,미용예술
29,명덕여자고등학교,미용예술
30,명일여자고등학교,미용예술
31,명일여자고등학교,미용예술
32,명일여자고등학교,미용예술
33,명지고등학교,미용예술
34,무학여자고등학교,미용예술
35,배문고등학교,미용예술
36,배화여자고등학교,미용예술
37,보성여자고등학교,미용예술
38,불암고등학교,미용예술
39,상암고등학교,미용예술
40,서문여자고등학교,미용예술
41,서울고등학교,미용예술
42,서울고등학교,미용예술
43,서울여자고등학교,미용예술
44,서울여자고등학교,미용예술
45,선사고등학교,미용예술
46,선일여자고등학교,미용예술
47,선정고등학교,미용예술
48,성덕고등학교,미용예술
49,성덕고등학교,미용예술
50,성신여자고등학교,미용예술
51,송곡여자고등학교,미용예술
52,숭의여자고등학교,미용예술
53,신림고등학교,미용예술
54,신림고등학교,미용예술
55,신목고등학교,미용예술
56,여의도고등학교,미용예술
57,여의도고등학교,미용예술
58,영등포여자고등학교,미용예술
59,영일고등학교,미용예술
60,영훈고등학교,미용예술
61,예일여자고등학교,미용예술
62,오금고등학교,미용예술
63,용문고등학교,미용예술
64,인창고등학교,미용예술
65,인창고등학교,미용예술
66,한서고등학교,미용예술
67,혜원여자고등학교,미용예술
68,홍익대학교사범대학부속여자고등학교,미용예술
69,효문고등학교,미용예술
70,효문고등학교,미용예술
71,휘봉고등학교,미용예술
