,학교명,지원학과
0,가재울고등학교,제과제빵
1,경성고등학교,제과제빵
2,경신고등학교,제과제빵
3,광신고등학교,제과제빵
4,구로고등학교,제과제빵
5,구로고등학교,제과제빵
6,구로고등학교,제과제빵
7,구암고등학교,제과제빵
8,대영고등학교,제과제빵
9,덕원여자고등학교,제과제빵
10,명덕고등학교,제과제빵
11,상명대학교사범대학부속여자고등학교,제과제빵
12,서문여자고등학교,제과제빵
13,서문여자고등학교,제과제빵
14,서문여자고등학교,제과제빵
15,서울여자고등학교,제과제빵
16,선유고등학교,제과제빵
17,선정고등학교,제과제빵
18,세현고등학교,제과제빵
19,숭의여자고등학교,제과제빵
20,신광여자고등학교,제과제빵
21,신도고등학교,제과제빵
22,신서고등학교,제과제빵
23,여의도여자고등학교,제과제빵
24,영등포여자고등학교,제과제빵
25,영등포여자고등학교,제과제빵
26,영락고등학교,제과제빵
27,영훈고등학교,제과제빵
28,용산고등학교,제과제빵
29,용산고등학교,제과제빵
30,은광여자고등학교,제과제빵
31,잠실고등학교,제과제빵
32,잠실고등학교,제과제빵
33,진명여자고등학교,제과제빵
34,홍익대학교사범대학부속고등학교,제과제빵
35,환일고등학교,제과제빵
