,학교명,지원학과
0,가재울고등학교,한양식조리
1,경문고등학교,한양식조리
2,경성고등학교,한양식조리
3,광성고등학교,한양식조리
4,광신고등학교,한양식조리
5,광영고등학교,한양식조리
6,금옥여자고등학교,한양식조리
7,대신고등학교,한양식조리
8,대원고등학교,한양식조리
9,대원고등학교,한양식조리
10,대원고등학교,한양식조리
11,대일고등학교,한양식조리
12,도봉고등학교,한양식조리
13,동작고등학교,한양식조리
14,백암고등학교,한양식조리
15,서울고등학교,한양식조리
16,서울고등학교,한양식조리
17,선사고등학교,한양식조리
18,선사고등학교,한양식조리
19,성덕고등학교,한양식조리
20,세현고등학교,한양식조리
21,숭실고등학교,한양식조리
22,신서고등학교,한양식조리
23,신현고등학교,한양식조리
24,여의도고등학교,한양식조리
25,영신고등학교,한양식조리
26,영신고등학교,한양식조리
27,영신고등학교,한양식조리
28,용산고등학교,한양식조리
29,용산고등학교,한양식조리
30,용산고등학교,한양식조리
31,인창고등학교,한양식조리
32,잠실고등학교,한양식조리
33,청량고등학교,한양식조리
34,화곡고등학교,한양식조리
35,화곡고등학교,한양식조리
