,학교명,지원학과
0,경동고등학교,관광일본어과
1,고려대학교사범대학부속고등학교,관광일본어과
2,광성고등학교,관광일본어과
3,구로고등학교,관광일본어과
4,구로고등학교,관광일본어과
5,구로고등학교,관광일본어과
6,구일고등학교,관광일본어과
7,금호고등학교,관광일본어과
8,명덕고등학교,관광일본어과
9,무학여자고등학교,관광일본어과
10,무학여자고등학교,관광일본어과
11,방산고등학교,관광일본어과
12,백암고등학교,관광일본어과
13,삼각산고등학교,관광일본어과
14,상일여자고등학교,관광일본어과
15,서울대학교사범대학부설고등학교,관광일본어과
16,서울대학교사범대학부설고등학교,관광일본어과
17,서울여자고등학교,관광일본어과
18,선사고등학교,관광일본어과
19,선일여자고등학교,관광일본어과
20,선일여자고등학교,관광일본어과
21,성동고등학교,관광일본어과
22,숭실고등학교,관광일본어과
23,숭실고등학교,관광일본어과
24,숭실고등학교,관광일본어과
25,신현고등학교,관광일본어과
26,압구정고등학교,관광일본어과
27,영신고등학교,관광일본어과
28,영훈고등학교,관광일본어과
29,예일여자고등학교,관광일본어과
30,용문고등학교,관광일본어과
31,용산고등학교,관광일본어과
32,재현고등학교,관광일본어과
33,중화고등학교,관광일본어과
34,청량고등학교,관광일본어과
35,청량고등학교,관광일본어과
