,학교명,지원학과
0,경신고등학교,제과제빵과
1,경일고등학교,제과제빵과
2,대원고등학교,제과제빵과
3,대일고등학교,제과제빵과
4,대진여자고등학교,제과제빵과
5,도봉고등학교,제과제빵과
6,도봉고등학교,제과제빵과
7,도선고등학교,제과제빵과
8,도선고등학교,제과제빵과
9,도선고등학교,제과제빵과
10,동국대학교사범대학부속고등학교,제과제빵과
11,동국대학교사범대학부속고등학교,제과제빵과
12,명지고등학교,제과제빵과
13,미양고등학교,제과제빵과
14,상명고등학교,제과제빵과
15,선일여자고등학교,제과제빵과
16,선일여자고등학교,제과제빵과
17,선일여자고등학교,제과제빵과
18,성동고등학교,제과제빵과
19,송곡고등학교,제과제빵과
20,숭실고등학교,제과제빵과
21,신림고등학교,제과제빵과
22,신현고등학교,제과제빵과
23,영파여자고등학교,제과제빵과
24,영파여자고등학교,제과제빵과
25,용화여자고등학교,제과제빵과
26,은평고등학교,제과제빵과
27,은평고등학교,제과제빵과
28,자운고등학교,제과제빵과
29,창동고등학교,제과제빵과
30,태릉고등학교,제과제빵과
31,혜화여자고등학교,제과제빵과
