,학교명,지원학과
0,강일고등학교,조리과
1,건국대학교사범대학부속고등학교,조리과
2,건국대학교사범대학부속고등학교,조리과
3,건국대학교사범대학부속고등학교,조리과
4,구로고등학교,조리과
5,구로고등학교,조리과
6,누원고등학교,조리과
7,대일고등학교,조리과
8,동국대학교사범대학부속고등학교,조리과
9,동명여자고등학교,조리과
10,동성고등학교,조리과
11,면목고등학교,조리과
12,문현고등학교,조리과
13,미양고등학교,조리과
14,불암고등학교,조리과
15,삼각산고등학교,조리과
16,상계고등학교,조리과
17,상명고등학교,조리과
18,서라벌고등학교,조리과
19,서라벌고등학교,조리과
20,서라벌고등학교,조리과
21,서울대학교사범대학부설고등학교,조리과
22,성덕고등학교,조리과
23,성동고등학교,조리과
24,영일고등학교,조리과
25,용문고등학교,조리과
26,용산고등학교,조리과
27,자운고등학교,조리과
28,청량고등학교,조리과
29,청량고등학교,조리과
30,청량고등학교,조리과
31,한성여자고등학교,조리과
32,한영고등학교,조리과
33,한영고등학교,조리과
34,한영고등학교,조리과
35,혜성여자고등학교,조리과
