,학교명,지원학과
0,가락고등학교,미용예술과
1,가락고등학교,미용예술과
2,가락고등학교,미용예술과
3,강동고등학교,미용예술과
4,개포고등학교,미용예술과
5,개포고등학교,미용예술과
6,개포고등학교,미용예술과
7,건국대학교사범대학부속고등학교,미용예술과
8,경기여자고등학교,미용예술과
9,경기여자고등학교,미용예술과
10,경인고등학교,미용예술과
11,동덕여자고등학교,미용예술과
12,문정고등학교,미용예술과
13,문정고등학교,미용예술과
14,문정고등학교,미용예술과
15,문현고등학교,미용예술과
16,문현고등학교,미용예술과
17,반포고등학교,미용예술과
18,방산고등학교,미용예술과
19,방산고등학교,미용예술과
20,방산고등학교,미용예술과
21,서초고등학교,미용예술과
22,성덕고등학교,미용예술과
23,압구정고등학교,미용예술과
24,압구정고등학교,미용예술과
25,언남고등학교,미용예술과
26,언남고등학교,미용예술과
27,언남고등학교,미용예술과
28,언남고등학교,미용예술과
29,영동일고등학교,미용예술과
30,오금고등학교,미용예술과
31,원묵고등학교,미용예술과
32,은광여자고등학교,미용예술과
33,인헌고등학교,미용예술과
34,자양고등학교,미용예술과
35,잠실고등학교,미용예술과
36,중앙대학교사범대학부속고등학교,미용예술과
37,풍문고등학교,미용예술과
