학교명,도로명주소
가락고등학교,서울특별시 송파구 송이로 42
가재울고등학교,서울특별시 서대문구 수색로 100-35
강동고등학교,서울특별시 강동구 구천면로 572
강서고등학교,서울특별시 양천구 목동중앙남로 27
강일고등학교,서울특별시 강동구 아리수로98길 40
개포고등학교,서울특별시 강남구 개포로 402
건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120
경기고등학교,서울특별시 강남구 영동대로 643
경기여자고등학교,서울특별시 강남구 삼성로 29
경동고등학교,서울특별시 성북구 보문로29길 49
경문고등학교,서울특별시 동작구 동작대로 171
경복고등학교,서울특별시 종로구 자하문로28가길 9
경복여자고등학교,서울특별시 강서구 화곡로63길 40
경성고등학교,서울특별시 마포구 성미산로 111
경신고등학교,서울특별시 종로구 혜화로 74
경인고등학교,서울특별시 구로구 경인로46길 31
경일고등학교,서울특별시 성동구 성수일로 27
경희고등학교,서울특별시 동대문구 경희대로 26
경희여자고등학교,서울특별시 동대문구 경희대로 26
계성고등학교,서울특별시 성북구 길음로 63
고려대학교사범대학부속고등학교,서울특별시 성북구 정릉로 161
고척고등학교,서울특별시 구로구 중앙로15길 162
공항고등학교,서울특별시 강서구 방화대로34길 43
관악고등학교,서울특별시 영등포구 영등포로6길 26
광남고등학교,서울특별시 광진구 아차산로70길 17-16
광문고등학교,서울특별시 강동구 동남로 968
광성고등학교,서울특별시 마포구 신수로8길 20
광신고등학교,서울특별시 관악구 광신길 141
광양고등학교,서울특별시 광진구 자양로3가길 31
광영고등학교,서울특별시 양천구 남부순환로30길 17
광영여자고등학교,서울특별시 양천구 남부순환로30길 17
구로고등학교,서울특별시 구로구 가마산로27길 45
구암고등학교,서울특별시 관악구 성현로 57
구일고등학교,서울특별시 구로구 구일로 90-51
구현고등학교,서울특별시 구로구 경인로53가길 17
금옥여자고등학교,서울특별시 양천구 신정로 213
금천고등학교,서울특별시 금천구 시흥대로38길 26
금호고등학교,서울특별시 성동구 금호로 118
남강고등학교,서울특별시 관악구 난곡로34길 80
노원고등학교,서울특별시 노원구 노원로 586
누원고등학교,서울특별시 도봉구 마들로 849
단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21
당곡고등학교,서울특별시 관악구 봉천로21길 108
대광고등학교,서울특별시 동대문구 안암로 6
대성고등학교,서울특별시 은평구 갈현로29길 51-24
대신고등학교,서울특별시 종로구 사직로 9
대영고등학교,서울특별시 영등포구 도림로86길 16
대원고등학교,서울특별시 광진구 용마산로22길 26
대원여자고등학교,서울특별시 광진구 용마산로22길 26
대일고등학교,서울특별시 강서구 등촌로 105
대진고등학교,서울특별시 노원구 공릉로62가길 47
대진여자고등학교,서울특별시 노원구 공릉로 438
덕성여자고등학교,서울특별시 종로구 율곡로3길 50
덕수고등학교,서울특별시 송파구 위례북로 10
덕원여자고등학교,서울특별시 강서구 강서로45길 91-44
도봉고등학교,서울특별시 도봉구 도봉산길 27
도선고등학교,서울특별시 성동구 마장로 156
독산고등학교,서울특별시 금천구 문성로 64
동국대학교사범대학부속고등학교,서울특별시 동대문구 장안벚꽃로 201
동국대학교사범대학부속여자고등학교,서울특별시 광진구 광나루로36길 47
동덕여자고등학교,서울특별시 서초구 효령로2길 123-5
동명여자고등학교,서울특별시 은평구 통일로 793
동북고등학교,서울특별시 강동구 강동대로 305
동성고등학교,서울특별시 종로구 대학로 156
동양고등학교,서울특별시 강서구 허준로 50
동일여자고등학교,서울특별시 금천구 탑골로10길 45
동작고등학교,서울특별시 동작구 솔밭로 51
둔촌고등학교,서울특별시 강동구 명일로 140
등촌고등학교,서울특별시 강서구 공항대로39길 115
